name,生物技术和制药,游戏开发商,数据服务,媒体及阅读,医疗器械及硬件,交通出行,综合电商,企业IT服务,视频/直播,行业信息化及解决方案,餐饮业,集成电路,食品饮料,服装服饰,前沿技术,机器人,K12,医疗信息化,影视,销售营销,生鲜食品,人力资源,企业安全,动漫,电商解决方案,跨境电商,语言学习,消费电子,保险,支付,医疗机构,专科服务,百货零售,兴趣社区,化妆品,自动/无人驾驶,金融信息化,社区电商,音乐,理财,汽车制造,综合文娱,本地综合生活,办公OA,医疗综合服务,儿童早教,寻医诊疗,二手电商,电子竞技,装修装潢,汽车后服务,货运物流,素质教育,陌生人交友,金融综合服务,大宗商品,区块链行业应用,借贷,图像视频,财务税务,整合营销传播,智能家居,通信制造,节能环保,演艺,二手车,跨境游,旅游综合服务,医药电商,同城物流,创业服务,开发者服务,职业培训,健康保健,其他电商服务,游戏综合服务,房产综合服务,母婴电商,体育媒体及社区,事项及效率,美业服务,移动及网络广告,大众健身,法律服务,其他文娱服务,房产租赁,教育信息化,交通食宿,股票,家居家纺,新能源,综合物流,宠物服务,可穿戴设备,供应链金融,游戏媒体及社区,家政服务,休闲娱乐,客户服务,投融资,传感设备,物流信息化,商户服务及信息化,数字货币,奢侈品,消费金融,小区服务,无人机,轻工制造,快递服务,云服务,信用及征信,车联网,游戏发行及渠道,综合社交,综合工具服务,汽车零部件,车主工具及服务,汽车金融,汽车电商,婚礼婚庆,赛事运营及经纪,其他医疗服务,商业房产,军工制造,搜索引擎,农业电商,高等教育,工业4.0,实用生活服务,家庭熟人社交,无线通讯,教育综合服务,商务社交,艺术,医生服务,机械设备,其他企业服务,其他金融,出国留学,新材料,婚恋交友,珠宝首饰,设计及创意,IP版权,其他生活服务,旅游信息化,智能装备,种植养殖,女性社群,国内游,汽车综合服务,其他游戏服务,其他工具,旅游工具及社区,应用商店,房产信息化,系统工具,广告技术,农业服务,传统广告,其他教育,石油矿采,其他房产服务,浏览器,综合企业服务,养老服务,综合硬件,安全隐私,化学工业,3D打印,仓储服务,位置定位,体育用品及装备,体育设施及场馆,校园社交,房产电商,其他农业,维修服务,其他物流,其他汽车服务,优化清理,新型农业系统,外汇期货贵金属,其他广告,3C电子,跨境物流,区块链媒体及社区,区块链基础技术,房产金融,建筑,数字虚拟商品,电子设备,综合农业,其他社交,同性社交,房产开发,其他体育服务,区块链应用技术,户外及极限运动,其他硬件服务,教辅设备,综合体育,文件文档,其他工业,农业生物技术,校园服务,其他旅游服务,游戏道具衍生品,广告平台,主题特色游,彩票,图书影音
GGV,3,5,18,6,5,10,9,16,6,8,8,3,4,6,8,6,8,6,1,3,7,9,9,3,6,8,7,7,8,2,4,0,4,4,8,3,2,6,4,1,2,1,1,10,0,10,1,7,2,7,2,4,1,3,5,4,1,0,2,2,6,1,1,3,1,0,1,2,1,0,1,5,3,1,3,0,7,1,0,0,0,0,5,2,2,0,2,4,0,0,2,1,3,6,0,0,0,0,2,0,2,2,0,1,3,0,0,3,0,0,4,1,0,1,1,1,0,4,0,3,0,0,1,1,0,1,0,0,0,1,2,2,1,0,3,0,0,4,2,1,2,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
IDG,39,42,43,19,11,10,31,18,33,25,17,12,16,31,16,12,25,11,8,18,15,9,14,8,17,23,10,17,14,11,3,11,13,14,6,16,6,5,8,14,5,4,2,6,7,1,3,4,7,8,3,3,7,7,4,6,12,6,5,11,8,4,7,5,7,5,2,3,2,0,5,6,4,1,6,8,3,6,9,3,12,10,3,3,3,7,1,6,2,7,1,1,3,3,6,3,6,7,3,2,2,4,3,6,8,3,4,1,8,1,4,4,1,3,2,4,2,0,2,0,5,8,1,6,3,4,1,0,1,1,1,3,0,6,1,0,0,0,3,4,4,0,3,1,2,1,5,0,2,0,4,0,1,1,1,2,1,0,5,0,3,0,1,0,1,0,2,3,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,2,2,2,1,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0
Ali,0,5,6,8,0,22,20,8,8,7,4,7,2,10,10,3,2,1,10,6,7,0,2,4,10,1,1,4,1,3,1,0,7,2,2,1,0,5,2,0,4,6,13,1,2,0,0,1,0,6,2,1,0,5,2,2,1,0,2,4,1,5,5,0,1,0,5,1,0,5,0,1,0,1,1,1,0,1,0,1,2,0,0,0,4,2,0,1,0,1,0,7,1,2,0,0,0,1,0,1,1,0,2,0,4,0,0,0,2,11,1,0,3,1,3,3,2,0,0,2,0,2,0,0,0,4,1,1,1,2,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,2,2,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,3,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Baidu,2,3,6,7,1,5,1,1,7,5,3,2,0,0,1,1,1,2,7,2,1,2,2,0,2,2,4,3,0,1,4,0,0,1,2,5,2,0,3,0,5,2,3,1,0,1,1,1,0,1,3,4,0,0,2,0,1,1,1,0,1,2,6,0,0,1,0,2,0,0,0,2,0,1,0,0,3,1,0,2,0,2,0,0,0,2,0,0,2,1,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH_VC,26,0,5,0,20,0,0,1,0,6,1,13,7,0,2,9,0,2,0,1,1,0,5,0,4,0,0,0,1,1,1,2,0,0,4,1,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH,54,1,10,4,14,9,5,4,1,6,3,10,10,3,3,3,4,2,1,1,8,6,2,2,2,3,2,7,1,3,7,8,2,0,3,2,7,2,0,1,7,3,3,1,5,0,1,2,0,5,2,4,5,0,3,0,0,3,0,6,0,2,1,0,1,1,0,4,3,3,2,0,1,1,2,0,7,4,0,0,0,0,3,0,0,0,0,1,0,0,2,4,9,0,0,0,0,0,0,0,0,1,1,0,1,0,7,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequoia,70,23,40,15,29,23,16,25,13,17,20,22,20,14,29,22,19,18,12,22,20,16,15,3,9,12,10,6,10,13,17,6,10,8,13,8,16,5,4,12,8,7,11,9,9,6,11,3,8,5,11,7,2,3,8,6,9,15,4,5,2,5,4,3,2,9,8,10,13,11,6,2,2,6,9,2,3,7,5,10,3,5,3,5,4,3,2,5,6,5,9,9,0,3,2,3,1,1,3,4,5,6,4,1,0,7,2,3,3,5,3,2,1,1,0,1,2,2,1,3,1,0,2,3,2,0,4,4,0,2,3,1,0,1,0,3,6,2,2,0,0,1,1,4,1,0,0,1,1,0,1,0,0,2,0,2,3,1,0,3,0,1,1,2,1,0,1,0,1,3,1,0,1,2,1,0,1,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matrix,29,22,26,23,15,23,10,28,10,7,28,16,22,13,6,10,7,24,12,6,7,19,11,8,9,10,10,6,10,5,17,15,9,14,7,2,1,5,3,11,5,6,4,4,9,4,15,10,6,8,2,6,8,7,7,15,3,6,8,5,4,8,2,7,6,8,13,0,5,10,8,5,4,2,2,2,2,4,3,2,6,3,2,7,2,7,0,4,5,2,2,0,3,4,6,8,10,5,6,4,1,1,0,5,2,3,0,1,2,0,1,2,2,2,1,1,2,1,4,1,5,0,0,3,7,0,4,1,1,0,0,2,3,4,1,2,3,1,1,2,2,1,0,0,2,3,0,0,1,7,3,0,0,1,5,1,1,2,0,4,0,2,3,2,2,1,0,0,0,1,1,1,0,0,3,2,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Qiming,69,9,12,13,48,11,8,7,6,8,1,10,3,7,8,7,4,9,3,3,1,5,4,7,1,1,2,5,5,0,9,14,3,3,1,7,3,5,5,6,0,0,2,0,10,2,4,6,1,0,5,0,3,2,2,2,2,2,6,0,0,2,3,13,2,1,0,4,6,0,0,2,4,4,2,3,0,0,0,0,2,4,0,0,1,3,0,1,0,0,6,0,2,1,0,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,2,1,4,0,1,0,0,0,9,0,0,0,1,0,5,5,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tencent,12,137,18,43,6,21,31,22,26,15,9,7,5,7,9,15,15,15,38,18,11,4,11,40,10,2,9,7,13,22,5,2,9,7,4,5,14,4,12,3,9,13,11,4,7,12,4,4,16,2,7,11,4,12,10,2,1,2,4,4,10,1,5,0,7,8,2,8,4,3,3,4,4,4,3,14,5,1,5,4,1,1,8,10,7,2,7,1,6,0,0,1,3,4,5,4,5,2,0,3,3,2,3,0,1,1,5,2,2,0,2,3,5,3,4,0,0,2,5,3,1,1,1,0,1,4,0,1,2,2,5,1,4,0,1,2,0,2,1,0,0,1,2,1,3,1,1,3,0,0,0,2,5,2,1,1,2,1,0,1,0,2,1,0,2,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
