name,GGV,IDG,Ali,Baidu,HH_VC,HH,Sequoia,Matrix,Qiming,Tencent,Zhen,BD
生物技术和制药,3,39,0,2,26,54,70,29,69,12,9,0
游戏开发商,5,42,5,3,0,1,23,22,9,137,31,9
数据服务,18,43,6,6,5,10,40,26,12,18,28,1
媒体及阅读,6,19,8,7,0,4,15,23,13,43,38,13
医疗器械及硬件,5,11,0,1,20,14,29,15,48,6,7,0
交通出行,10,10,22,5,0,9,23,23,11,21,20,0
综合电商,9,31,20,1,0,5,16,10,8,31,13,1
企业IT服务,16,18,8,1,1,4,25,28,7,22,5,4
视频/直播,6,33,8,7,0,1,13,10,6,26,24,3
行业信息化及解决方案,8,25,7,5,6,6,17,7,8,15,15,1
餐饮业,8,17,4,3,1,3,20,28,1,9,22,2
集成电路,3,12,7,2,13,10,22,16,10,7,14,0
食品饮料,4,16,2,0,7,10,20,22,3,5,22,3
服装服饰,6,31,10,0,0,3,14,13,7,7,21,0
前沿技术,8,16,10,1,2,3,29,6,8,9,17,1
机器人,6,12,3,1,9,3,22,10,7,15,14,7
K12,8,25,2,1,0,4,19,7,4,15,20,2
医疗信息化,6,11,1,2,2,2,18,24,9,15,12,0
影视,1,8,10,7,0,1,12,12,3,38,6,0
销售营销,3,18,6,2,1,1,22,6,3,18,14,3
生鲜食品,7,15,7,1,1,8,20,7,1,11,12,0
人力资源,9,9,0,2,0,6,16,19,5,4,17,0
企业安全,9,14,2,2,5,2,15,11,4,11,10,0
动漫,3,8,4,0,0,2,3,8,7,40,4,4
电商解决方案,6,17,10,2,4,2,9,9,1,10,12,0
跨境电商,8,23,1,2,0,3,12,10,1,2,15,0
语言学习,7,10,1,4,0,2,10,10,2,9,21,0
消费电子,7,17,4,3,0,7,6,6,5,7,11,1
保险,8,14,1,0,1,1,10,10,5,13,10,0
支付,2,11,3,1,1,3,13,5,0,22,8,0
医疗机构,4,3,1,4,1,7,17,17,9,5,0,0
专科服务,0,11,0,0,2,8,6,15,14,2,5,0
百货零售,4,13,7,0,0,2,10,9,3,9,5,0
兴趣社区,4,14,2,1,0,0,8,14,3,7,8,0
