year,物流,本地生活,医疗健康,文娱传媒,区块链,工具软件,电子商务,社交网络,游戏,先进制造,广告营销,房产服务,企业服务,教育,旅游,生产制造,农业,汽车交通,金融,智能硬件,体育运动
1998,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0
2000,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0
2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2003,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
2004,0,0,1,1,0,1,1,0,2,1,0,0,3,0,0,0,0,1,0,0,0
2005,0,0,3,3,0,2,0,2,4,0,0,0,2,0,0,0,0,0,0,1,1
2006,0,1,1,6,0,2,0,1,2,2,2,0,9,1,1,0,0,1,0,0,1
2007,1,2,5,12,0,0,4,1,7,3,4,1,4,1,1,1,0,3,1,1,1
2008,4,1,3,11,0,0,7,1,8,2,1,1,3,4,1,2,0,1,1,1,0
2009,1,3,3,5,0,6,6,2,7,1,2,1,3,2,2,1,0,1,0,2,2
2010,2,9,14,11,0,3,18,1,8,5,2,0,5,2,1,7,0,3,4,1,1
2011,1,11,13,16,0,9,48,7,23,5,8,4,14,14,7,7,1,4,8,4,2
2012,1,12,9,20,1,11,31,11,23,4,7,0,28,9,2,3,0,8,6,0,1
2013,3,10,20,19,4,17,32,12,34,10,4,5,38,18,19,5,2,12,14,12,3
2014,18,55,55,59,2,28,94,31,51,11,6,14,80,38,18,1,3,45,65,27,15
2015,34,90,85,92,3,31,110,38,40,16,11,22,111,39,22,10,4,76,65,40,20
2016,13,40,74,100,4,17,92,24,20,20,7,18,122,24,10,8,12,57,72,25,24
2017,8,78,97,121,7,22,75,10,13,28,6,15,126,48,12,10,4,71,49,36,21
2018,23,59,111,125,33,17,143,15,30,25,13,26,137,74,7,5,8,70,71,34,23
2019,23,25,90,51,5,3,66,9,16,17,7,19,112,46,9,7,3,31,52,25,5
2020,13,74,190,38,5,4,72,6,35,51,4,6,146,37,6,6,2,30,36,37,7
2021,10,47,117,13,7,1,39,2,44,47,3,9,131,24,3,8,4,22,23,31,7
